Period,Scenario,LoadLevel,Node,p.u.
2030,sc01,02-12 15:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 15:00:00+01:00,Node_3,0.95
2030,sc01,02-12 15:00:00+01:00,Node_1,0.9501240850729378
2030,sc01,02-12 16:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 16:00:00+01:00,Node_3,0.95
2030,sc01,02-12 16:00:00+01:00,Node_1,0.9501191713295423
2030,sc01,02-12 17:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 17:00:00+01:00,Node_3,0.95
2030,sc01,02-12 17:00:00+01:00,Node_1,0.9501130364725338
2030,sc01,02-12 18:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 18:00:00+01:00,Node_3,0.95
2030,sc01,02-12 18:00:00+01:00,Node_1,0.9501098392497147
2030,sc01,02-12 19:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 19:00:00+01:00,Node_3,0.95
2030,sc01,02-12 19:00:00+01:00,Node_1,0.9501118450700843
2030,sc01,02-12 20:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 20:00:00+01:00,Node_3,0.95
2030,sc01,02-12 20:00:00+01:00,Node_1,0.9501153285148546
2030,sc01,02-12 21:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 21:00:00+01:00,Node_3,0.95
2030,sc01,02-12 21:00:00+01:00,Node_1,0.9501214519641529
2030,sc01,02-12 22:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 22:00:00+01:00,Node_3,0.95
2030,sc01,02-12 22:00:00+01:00,Node_1,0.950128601798352
2030,sc01,02-12 23:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 23:00:00+01:00,Node_3,0.95
2030,sc01,02-12 23:00:00+01:00,Node_1,0.950134651181183
2030,sc01,02-14 00:00:00+01:00,Node_2,0.9500394234900259
2030,sc01,02-14 00:00:00+01:00,Node_3,0.95
2030,sc01,02-14 00:00:00+01:00,Node_1,0.9501409633383772
2030,sc01,02-14 01:00:00+01:00,Node_2,0.9500395648938218
2030,sc01,02-14 01:00:00+01:00,Node_3,0.95
2030,sc01,02-14 01:00:00+01:00,Node_1,0.9501424740754991
2030,sc01,02-14 02:00:00+01:00,Node_2,0.9500402003096693
2030,sc01,02-14 02:00:00+01:00,Node_3,0.95
2030,sc01,02-14 02:00:00+01:00,Node_1,0.950143615697078
2030,sc01,02-14 03:00:00+01:00,Node_2,0.9500420662293731
2030,sc01,02-14 03:00:00+01:00,Node_3,0.95
2030,sc01,02-14 03:00:00+01:00,Node_1,0.9501458781936302
2030,sc01,02-14 04:00:00+01:00,Node_2,0.9500469910841143
2030,sc01,02-14 04:00:00+01:00,Node_3,0.95
2030,sc01,02-14 04:00:00+01:00,Node_1,0.9501502174479907
2030,sc01,02-14 05:00:00+01:00,Node_2,0.9500551381182243
2030,sc01,02-14 05:00:00+01:00,Node_3,0.95
2030,sc01,02-14 05:00:00+01:00,Node_1,0.9501563193195861
2030,sc01,02-14 06:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-14 06:00:00+01:00,Node_3,0.95
2030,sc01,02-14 06:00:00+01:00,Node_1,0.9501540025604367
2030,sc01,02-14 07:00:00+01:00,Node_2,0.9500548970431922
2030,sc01,02-14 07:00:00+01:00,Node_3,0.95
2030,sc01,02-14 07:00:00+01:00,Node_1,0.950150010643076
2030,sc01,02-14 08:00:00+01:00,Node_2,0.9500514611696677
2030,sc01,02-14 08:00:00+01:00,Node_3,0.95
2030,sc01,02-14 08:00:00+01:00,Node_1,0.9501454461600081
2030,sc01,02-14 09:00:00+01:00,Node_2,0.9500466042787433
2030,sc01,02-14 09:00:00+01:00,Node_3,0.95
2030,sc01,02-14 09:00:00+01:00,Node_1,0.9501429833819882
2030,sc01,02-14 10:00:00+01:00,Node_2,0.950040522217196
2030,sc01,02-14 10:00:00+01:00,Node_3,0.95
2030,sc01,02-14 10:00:00+01:00,Node_1,0.9501395742134517
2030,sc01,02-14 11:00:00+01:00,Node_2,0.95003479458659
2030,sc01,02-14 11:00:00+01:00,Node_3,0.95
2030,sc01,02-14 11:00:00+01:00,Node_1,0.9501381200801846
2030,sc01,02-14 12:00:00+01:00,Node_2,0.9500308370318423
2030,sc01,02-14 12:00:00+01:00,Node_3,0.95
2030,sc01,02-14 12:00:00+01:00,Node_1,0.9501368328080508
2030,sc01,02-14 13:00:00+01:00,Node_2,0.9500281411184375
2030,sc01,02-14 13:00:00+01:00,Node_3,0.95
2030,sc01,02-14 13:00:00+01:00,Node_1,0.9501319644170942
2030,sc01,02-14 14:00:00+01:00,Node_2,0.9500295309500263
2030,sc01,02-14 14:00:00+01:00,Node_3,0.95
2030,sc01,02-14 14:00:00+01:00,Node_1,0.9501320388163783
2030,sc01,02-14 15:00:00+01:00,Node_2,0.950032880642683
2030,sc01,02-14 15:00:00+01:00,Node_3,0.95
2030,sc01,02-14 15:00:00+01:00,Node_1,0.9501339680842311
2030,sc01,02-14 16:00:00+01:00,Node_2,0.9500394201094902
2030,sc01,02-14 16:00:00+01:00,Node_3,0.95
2030,sc01,02-14 16:00:00+01:00,Node_1,0.9501420060069927
2030,sc01,02-14 17:00:00+01:00,Node_2,0.9500479886520351
2030,sc01,02-14 17:00:00+01:00,Node_3,0.95
2030,sc01,02-14 17:00:00+01:00,Node_1,0.9501474826728947
2030,sc01,02-14 18:00:00+01:00,Node_2,0.9500518712510594
2030,sc01,02-14 18:00:00+01:00,Node_3,0.95
2030,sc01,02-14 18:00:00+01:00,Node_1,0.9501483473146914
