LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-05 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0138940922599999,-0.03,-0.06,-0.0388624185000022,0.0138940922600022
01-05 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.01357506879,-0.03,0.0271277287700014,-0.12,0.0135750687899985
01-05 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0121811139299999,-0.03,-0.06,-0.0146603451399984,0.0121811139299984
01-05 17:00:00+01:00,-0.02625,0.0355367722299999,0.105,0.0,-0.03,-0.12,0.01429991198,0.03,0.06,0.12,0.01429991198
01-05 18:00:00+01:00,-0.02625,0.03514430605,0.105,0.0,-0.03,-0.12,0.01604374691,0.03,0.06,0.12,0.01604374691
01-05 19:00:00+01:00,-0.02625,0.0379289370399999,0.105,0.0,-0.03,-0.12,0.01533355356,0.03,0.06,0.12,0.01533355356
01-05 20:00:00+01:00,-0.02625,0.0407258729599999,0.105,0.0,-0.03,-0.12,0.01390319124,0.03,0.06,0.12,0.01390319124
01-05 21:00:00+01:00,-0.02625,0.0525,0.0978066410949999,0.0,-0.03,-0.12,0.011620160865,0.03,0.06,0.12,0.011620160865
01-05 22:00:00+01:00,-0.02625,0.050948385425,0.105,0.0,-0.03,-0.12,0.0097095137349999,0.03,0.06,0.12,0.0097095137349999
01-05 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0279173088599999,-0.03,0.022900652859999,-0.12,0.0279173088600009
01-06 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0292450079699999,-0.03,-0.06,-0.0398210848300006,0.0292450079700006
