,LoadLevel,mEUR
451,01-19 19:00:00+01:00,715445.8107303318
452,01-19 20:00:00+01:00,715445.8107303318
453,01-19 21:00:00+01:00,7644.041337475619
454,01-19 22:00:00+01:00,7644.041337475619
455,01-19 23:00:00+01:00,1051.562642349765
456,01-20 00:00:00+01:00,1051.562642349765
457,01-20 01:00:00+01:00,1051.562642349765
458,01-20 02:00:00+01:00,1051.562642349765
459,01-20 03:00:00+01:00,1051.562642349765
460,01-20 04:00:00+01:00,1051.562642349765
461,01-20 05:00:00+01:00,1051.562642349765
462,01-20 06:00:00+01:00,1051.562642349765
463,01-20 07:00:00+01:00,7644.041337475619
464,01-20 08:00:00+01:00,7644.041337475619
465,01-20 09:00:00+01:00,112235.38107424065
466,01-20 10:00:00+01:00,112235.38107424065
467,01-20 11:00:00+01:00,7644.041337475619
468,01-20 12:00:00+01:00,7644.041337475619
469,01-20 13:00:00+01:00,7644.041337475619
470,01-20 14:00:00+01:00,7644.041337475619
471,01-20 15:00:00+01:00,112235.38107424065
472,01-20 16:00:00+01:00,112235.38107424065
473,01-20 17:00:00+01:00,112235.38107424065
474,01-20 18:00:00+01:00,112235.38107424065
475,01-20 19:00:00+01:00,1561283.0123931868
476,01-20 20:00:00+01:00,715445.8107303318
477,01-20 21:00:00+01:00,1051.562642349765
478,01-20 22:00:00+01:00,7644.041337475619
479,01-20 23:00:00+01:00,1051.562642349765
480,01-21 00:00:00+01:00,1051.562642349765
481,01-21 01:00:00+01:00,1051.562642349765
482,01-21 02:00:00+01:00,1051.562642349765
483,01-21 03:00:00+01:00,1051.562642349765
484,01-21 04:00:00+01:00,1051.562642349765
485,01-21 05:00:00+01:00,1051.562642349765
486,01-21 06:00:00+01:00,1561283.0123931868
487,01-21 07:00:00+01:00,71404.70789656929
488,01-21 08:00:00+01:00,154693.72594330795
489,01-21 09:00:00+01:00,154693.72594330795
490,01-21 10:00:00+01:00,154693.72594330795
491,01-21 11:00:00+01:00,154693.72594330795
492,01-21 12:00:00+01:00,78723.60923924591
493,01-21 13:00:00+01:00,78723.60923924591
494,01-21 14:00:00+01:00,78723.60923924591
495,01-21 15:00:00+01:00,154693.72594330795
496,01-21 16:00:00+01:00,71404.70789656929
497,01-21 17:00:00+01:00,154693.72594330795
498,01-21 18:00:00+01:00,112235.38107424065
499,01-21 19:00:00+01:00,112235.38107424065
500,01-21 20:00:00+01:00,112235.38107424065
501,01-21 21:00:00+01:00,112235.38107424065
502,01-21 22:00:00+01:00,112235.38107424065
503,01-21 23:00:00+01:00,715445.8107303318
504,01-22 00:00:00+01:00,1561283.0123931868
505,01-22 01:00:00+01:00,7644.041337475619
506,01-22 02:00:00+01:00,1051.562642349765
507,01-22 03:00:00+01:00,1051.562642349765
508,01-22 04:00:00+01:00,1051.562642349765
509,01-22 05:00:00+01:00,715445.8107303318
510,01-22 06:00:00+01:00,715445.8107303318
511,01-22 07:00:00+01:00,68708.88063148357
512,01-22 08:00:00+01:00,154693.72594330795
513,01-22 09:00:00+01:00,154693.72594330795
514,01-22 10:00:00+01:00,112235.38107424065
515,01-22 11:00:00+01:00,388650.9742071997
516,01-22 12:00:00+01:00,388650.9742071997
517,01-22 13:00:00+01:00,388650.9742071997
518,01-22 14:00:00+01:00,388650.9742071997
519,01-22 15:00:00+01:00,388650.9742071997
520,01-22 16:00:00+01:00,70901.8234497328
521,01-22 17:00:00+01:00,70901.8234497328
522,01-22 18:00:00+01:00,388650.9742071997
523,01-22 19:00:00+01:00,388650.9742071997
524,01-22 20:00:00+01:00,388650.9742071997
525,01-22 21:00:00+01:00,388650.9742071997
526,01-22 22:00:00+01:00,388650.9742071997
527,01-22 23:00:00+01:00,388650.9742071997
528,01-23 00:00:00+01:00,715445.8107303318
529,01-23 01:00:00+01:00,1051.562642349765
530,01-23 02:00:00+01:00,1051.562642349765
531,01-23 03:00:00+01:00,1051.562642349765
532,01-23 04:00:00+01:00,1051.562642349765
533,01-23 05:00:00+01:00,715445.8107303318
534,01-23 06:00:00+01:00,715445.8107303318
535,01-23 07:00:00+01:00,70901.8234497328
536,01-23 08:00:00+01:00,70901.8234497328
537,01-23 09:00:00+01:00,70901.8234497328
538,01-23 10:00:00+01:00,388650.9742071997
539,01-23 11:00:00+01:00,388650.9742071997
540,01-23 12:00:00+01:00,388650.9742071997
541,01-23 13:00:00+01:00,388650.9742071997
542,01-23 14:00:00+01:00,388650.9742071997
543,01-23 15:00:00+01:00,388650.9742071997
544,01-23 16:00:00+01:00,70901.8234497328
545,01-23 17:00:00+01:00,70901.8234497328
546,01-23 18:00:00+01:00,112235.38107424065
547,01-23 19:00:00+01:00,112235.38107424065
548,01-23 20:00:00+01:00,1561283.0123931868
549,01-23 21:00:00+01:00,1561283.0123931868
550,01-23 22:00:00+01:00,715445.8107303318
551,01-23 23:00:00+01:00,715445.8107303318
552,01-24 00:00:00+01:00,715445.8107303318
553,01-24 01:00:00+01:00,1051.562642349765
554,01-24 02:00:00+01:00,1051.562642349765
555,01-24 03:00:00+01:00,1051.562642349765
556,01-24 04:00:00+01:00,1051.562642349765
557,01-24 05:00:00+01:00,1561283.0123931868
558,01-24 06:00:00+01:00,715445.8107303318
559,01-24 07:00:00+01:00,112235.38107424065
560,01-24 08:00:00+01:00,70901.8234497328
561,01-24 09:00:00+01:00,70901.8234497328
562,01-24 10:00:00+01:00,388650.9742071997
563,01-24 11:00:00+01:00,388650.9742071997
564,01-24 12:00:00+01:00,388650.9742071997
565,01-24 13:00:00+01:00,388650.9742071997
566,01-24 14:00:00+01:00,388650.9742071997
567,01-24 15:00:00+01:00,388650.9742071997
568,01-24 16:00:00+01:00,70901.8234497328
569,01-24 17:00:00+01:00,70901.8234497328
570,01-24 18:00:00+01:00,112235.38107424065
571,01-24 19:00:00+01:00,1561283.0123931868
572,01-24 20:00:00+01:00,388650.9742071997
573,01-24 21:00:00+01:00,388650.9742071997
574,01-24 22:00:00+01:00,1561283.0123931868
575,01-24 23:00:00+01:00,1561283.0123931868
576,01-25 00:00:00+01:00,715445.8107303318
577,01-25 01:00:00+01:00,1051.562642349765
