Period,Scenario,LoadLevel,Variable,Value,Dataset,Execution
2030,sc01,2030-01-03T05:00:00+01:00,Node_2,(0.03212870179+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T05:00:00+01:00,Node_3,(0.09364835486+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T06:00:00+01:00,Node_1,(0.02327716258+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T06:00:00+01:00,Node_2,(0.03310232867+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T06:00:00+01:00,Node_3,(0.09557502206+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T07:00:00+01:00,Node_1,(0.02705183758+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T07:00:00+01:00,Node_2,(0.03532130144+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T07:00:00+01:00,Node_3,(0.09313572118+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T08:00:00+01:00,Node_1,(0.02988284384+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T08:00:00+01:00,Node_2,(0.03748545806+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T08:00:00+01:00,Node_3,(0.08940703857+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T09:00:00+01:00,Node_1,(0.03019740009+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T09:00:00+01:00,Node_2,(0.04103255794+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T09:00:00+01:00,Node_3,(0.08782947756000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T10:00:00+01:00,Node_1,(0.03019740009+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T10:00:00+01:00,Node_2,(0.044645537310000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T10:00:00+01:00,Node_3,(0.08661076724+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T11:00:00+01:00,Node_1,(0.02988284384+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T11:00:00+01:00,Node_2,(0.04462686702+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T11:00:00+01:00,Node_3,(0.08540587124+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T12:00:00+01:00,Node_1,(0.02988284384+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T12:00:00+01:00,Node_2,(0.043161693450000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T12:00:00+01:00,Node_3,(0.08470116278+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T13:00:00+01:00,Node_1,(0.02988284384+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T13:00:00+01:00,Node_2,(0.04281618301+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T13:00:00+01:00,Node_3,(0.08416570189+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T14:00:00+01:00,Node_1,(0.02925373135+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T14:00:00+01:00,Node_2,(0.04204880635+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T14:00:00+01:00,Node_3,(0.08370254082+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T15:00:00+01:00,Node_1,(0.029568287600000003+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T15:00:00+01:00,Node_2,(0.04034576954+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T15:00:00+01:00,Node_3,(0.08379925153000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T16:00:00+01:00,Node_1,(0.031141068850000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T16:00:00+01:00,Node_2,(0.03925098353+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T16:00:00+01:00,Node_3,(0.08735146914000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T17:00:00+01:00,Node_1,(0.03145562511+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T17:00:00+01:00,Node_2,(0.04014635739+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T17:00:00+01:00,Node_3,(0.09103883251000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T18:00:00+01:00,Node_1,(0.03145562511+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T18:00:00+01:00,Node_2,(0.04546369901+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T18:00:00+01:00,Node_3,(0.08952050139+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T19:00:00+01:00,Node_1,(0.03019740009+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T19:00:00+01:00,Node_2,(0.04799348679+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T19:00:00+01:00,Node_3,(0.08751407039999999+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T20:00:00+01:00,Node_1,(0.02862461884+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T20:00:00+01:00,Node_2,(0.04898236677+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T20:00:00+01:00,Node_3,(0.08658315891+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T21:00:00+01:00,Node_1,(0.02610816884+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T21:00:00+01:00,Node_2,(0.049318630190000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T21:00:00+01:00,Node_3,(0.08383440142000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T22:00:00+01:00,Node_1,(0.02296260633+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T22:00:00+01:00,Node_2,(0.04741612181+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T22:00:00+01:00,Node_3,(0.08015705337+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T23:00:00+01:00,Node_1,(0.019817043819999998+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T23:00:00+01:00,Node_2,(0.044253373240000005+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T23:00:00+01:00,Node_3,(0.07816679064+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-04T00:00:00+01:00,Node_1,(0.020645161290000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-04T00:00:00+01:00,Node_2,(0.04037587113+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-04T00:00:00+01:00,Node_3,(0.07758495928+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-04T01:00:00+01:00,Node_1,(0.01941261435+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-04T01:00:00+01:00,Node_2,(0.03655056282000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-04T01:00:00+01:00,Node_3,(0.07720657060000001+0j),ElectricityDemand,Network_Full_Generation_Full
