,Network_Existing_Generation_Full,Network_Line_In_Node_1_Node_2_cac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0.01868466,0.018994861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0.017488871,0.017799068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0.017507104,0.017817304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,0.017677366,0.017987567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0.018041324,0.018351526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0.018793738,0.019112913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0.020011187,0.02033033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,0.02182541,0.022144668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0.022726695,0.023047454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0.022877111,0.023199222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.02267034,0.022993951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,0.020994624,0.021304834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,0.01889412,0.019204327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0.017548276,0.01785848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0.016800342,0.017110545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0.016383824,0.016731131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0.016205679,0.016536432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0.016793354,0.017103558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0.018826074,0.019136282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0.021579113,0.021889325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0.022644904,0.022969457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,0.022445638,0.022769243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0.021880791,0.022203498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0.020800739,0.021110946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0.019803511,0.020113715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.018926917,0.019237119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0.018639274,0.018949477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,0.018085964,0.018396166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0.017693086,0.018003287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0.017833433,0.018143634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0.018844697,0.019162166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0.020334398,0.020651549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0.020945844,0.021264387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,0.020558969,0.020878767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,0.019934719,0.020255807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,0.018647333,0.01895754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0.017241391,0.017551596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0.016501667,0.016811871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,0.016062227,0.01637243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0.01630811,0.016618314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0.016376631,0.016686836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,0.016816848,0.017127054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0.018696412,0.019006622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,0.020739885,0.021050097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,0.021017718,0.021341629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,0.020632128,0.020952953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,0.020014284,0.020324491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0.019011604,0.019321807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,0.017837792,0.018147992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1.67E-02,0.017018402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1.62E-02,0.016483853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1.57E-02,1.60E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1.51E-02,1.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1.46E-02,0.014942156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,0.014392839,0.014760613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0.014654558,0.014997494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,0.015776816,0.016090958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0.016416686,0.016731922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,0.016318872,0.016634868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0.015170273,0.015480471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.014007948,0.014552271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,0.013349565,0.013893872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,0.01307856,0.013622863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1.30E-02,1.35E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,0.013255385,0.013799693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,0.01384298,0.014387305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.015807368,0.01611757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,0.018484812,0.018795018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
