Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,07-18 20:00:00+02:00,Node_2,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_4,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_8,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_1,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_5,50.51605619241573
2030,sc01,07-22 17:00:00+02:00,Node_6,15.0
2030,sc01,07-22 17:00:00+02:00,Node_7,15.0
2030,sc01,07-22 17:00:00+02:00,Node_3,15.0
2030,sc01,07-22 17:00:00+02:00,Node_9,15.0
2030,sc01,07-22 17:00:00+02:00,Node_2,15.0
2030,sc01,07-22 17:00:00+02:00,Node_4,15.0
2030,sc01,07-22 17:00:00+02:00,Node_8,15.0
2030,sc01,07-22 17:00:00+02:00,Node_1,15.0
2030,sc01,07-22 17:00:00+02:00,Node_5,15.0
2030,sc01,08-04 12:00:00+02:00,Node_6,15.0
2030,sc01,08-04 12:00:00+02:00,Node_7,15.0
2030,sc01,08-04 12:00:00+02:00,Node_3,15.0
2030,sc01,08-04 12:00:00+02:00,Node_9,14.999999999999998
2030,sc01,08-04 12:00:00+02:00,Node_2,15.0
2030,sc01,08-04 12:00:00+02:00,Node_4,14.999999999999998
2030,sc01,08-04 12:00:00+02:00,Node_8,15.0
2030,sc01,08-04 12:00:00+02:00,Node_1,14.999999999999998
2030,sc01,08-04 12:00:00+02:00,Node_5,14.999999999999998
2030,sc01,08-07 00:00:00+02:00,Node_6,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_7,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_3,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_9,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_2,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_4,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_8,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_1,50.51605619241573
2030,sc01,08-07 00:00:00+02:00,Node_5,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_6,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_7,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_3,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_9,50.51605619241573
2030,sc01,08-13 18:00:00+02:00,Node_2,50.51605619241573
