LoadLevel,CCGT_1,CCGT_2,CCGT_3,SolarPV_1,WindFarm_1
01-11 10:00:00+01:00,0.0,-1.1601830607332886e-14,0.0,0.0,0.0
01-11 11:00:00+01:00,0.0,1.9609314172441827e-14,0.0,0.0,0.0
01-11 12:00:00+01:00,0.0,1.6806001035263307e-14,0.0,0.0,0.0
01-11 13:00:00+01:00,0.0,9.797718192317006e-15,0.0,0.0,0.0
01-11 14:00:00+01:00,0.0,-3.200217868482014e-14,0.0,0.0,0.0
01-11 15:00:00+01:00,0.0,-1.980360320175123e-14,0.0,0.0,0.0
01-11 16:00:00+01:00,0.0,2.3592239273284576e-14,0.0,0.0,0.0
01-11 17:00:00+01:00,0.0,2.0691781621451355e-14,0.0,0.0,0.0
01-11 18:00:00+01:00,0.0,-1.4682699500667695e-14,0.0,0.0,0.0
01-11 19:00:00+01:00,0.0,6.217248937900877e-15,0.0,0.0,0.0
01-11 20:00:00+01:00,0.0,3.338995746560158e-14,0.0,0.0,0.0
01-11 21:00:00+01:00,0.0,1.762479051592436e-14,0.0,0.0,0.0
01-11 22:00:00+01:00,0.0,-2.8310687127941492e-14,0.0,0.0,0.0
01-11 23:00:00+01:00,0.0,2.1899149160731213e-14,0.0,0.0,0.0
01-12 00:00:00+01:00,0.0,3.440303597557204e-14,0.0,0.0,0.0
01-12 01:00:00+01:00,0.0,1.3711254354120683e-14,0.0,0.0,0.0
01-12 02:00:00+01:00,0.0,-2.400857290751901e-15,0.0,0.0,0.0
01-12 03:00:00+01:00,0.0,-4.690692279041286e-15,0.0,0.0,0.0
01-12 04:00:00+01:00,0.0,3.400058012914542e-14,0.0,0.0,0.0
01-12 05:00:00+01:00,0.0,-4.0092928976775966e-14,0.0,0.0,0.0
01-12 06:00:00+01:00,0.0,9.298117831235686e-15,0.0,0.0,0.0
01-12 07:00:00+01:00,0.0,-8.798517470154366e-15,0.0,0.0,0.0
01-12 08:00:00+01:00,0.0,3.3029134982598407e-15,0.0,0.0,0.0
01-12 09:00:00+01:00,0.0,2.6006974351844292e-14,0.0,0.0,0.0
01-12 10:00:00+01:00,0.0,-3.269606807521086e-14,0.0,0.0,0.0
